event_id,question,answers,,,story,Event query,answer ,queries,,,question query,question number,question subject,story query
,,1,2,3,,,,,,,,,,
1,How many elements in the periodic table?,118,100,181,All the best chemistry jokes argon.,"'(1),'","'(1, 1, 118, 1),'","'(2, 1, 100, 0),'","'(3, 1, 181, 0),'",3,"'(1, 1, 'How many elements in the periodic table?', 'Science', 1),'",1,Science,"'(1, 'All the best chemistry jokes argon.', 1),'"
2,What are the three states of matter?,"Liquid, Solid, Gas","Water, Ice, Steam","Fluid, Air, Solid",Something Clever,"'(2),'","'(4, 2, Liquid, Solid, Gas, 1),'","'(5, 2, Water, Ice, Steam, 0),'","'(6, 2, Fluid, Air, Solid, 0),'",6,"'(2, 2, 'What are the three states of matter?', 'Science', 2),'",2,Science,"'(2, 'Something Clever', 2),'"
3,What type of cloud is this?,Cumulus,Nimbo,Strato,I think it looks like a marshmello,"'(3),'","'(7, 3, Cumulus, 1),'","'(8, 3, Nimbo, 0),'","'(9, 3, Strato, 0),'",9,"'(3, 3, 'What type of cloud is this?', 'Science', 3),'",3,Science,"'(3, 'I think it looks like a marshmello', 3),'"
4,Which natural element has the highest atomic number?,Uranium,Lead,Iron,No it's my-anium,"'(4),'","'(10, 4, Uranium, 1),'","'(11, 4, Lead, 0),'","'(12, 4, Iron, 0),'",12,"'(4, 4, 'Which natural element has the highest atomic number?', 'Science', 4),'",4,Science,"'(4, 'No it's my-anium', 4),'"
5,"This organelle is responsible for energy production and is often called the ""powerhouse"" of the cell.",Mitochondria,Nucleus,Chloroplast,Powerhouse of the cell kinda sounds like the tagline for a cage wrestler.,"'(5),'","'(13, 5, Mitochondria, 1),'","'(14, 5, Nucleus, 0),'","'(15, 5, Chloroplast, 0),'",15,"'(5, 5, 'This organelle is responsible for energy production and is often called the ""powerhouse"" of the cell.', 'Science', 5),'",5,Science,"'(5, 'Powerhouse of the cell kinda sounds like the tagline for a cage wrestler.', 5),'"
6,What is a fossil?,Remains of life that have been naturally preserved,Dinosaurs,A type of rock that been on the earth since ancient times,Example Text,"'(6),'","'(16, 6, Remains of life that have been naturally preserved, 1),'","'(17, 6, Dinosaurs, 0),'","'(18, 6, A type of rock that been on the earth since ancient times, 0),'",18,"'(6, 6, 'What is a fossil?', 'Science', 6),'",6,Science,"'(6, 'Example Text', 6),'"
7,What material is at the core of the Earth?,Liquid Iron and Nickel,Solid rock,Water,Example Text,"'(7),'","'(19, 7, Liquid Iron and Nickel, 1),'","'(20, 7, Solid rock, 0),'","'(21, 7, Water, 0),'",21,"'(7, 7, 'What material is at the core of the Earth?', 'Science', 7),'",7,Science,"'(7, 'Example Text', 7),'"
8,How are tornadoes formed?,Warm humid air collides with air that is cool and dry,Clouds continue to collide with each other causing friction,Cold humid air collides with air that is warm and dry,Example Text,"'(8),'","'(22, 8, Warm humid air collides with air that is cool and dry, 1),'","'(23, 8, Clouds continue to collide with each other causing friction, 0),'","'(24, 8, Cold humid air collides with air that is warm and dry, 0),'",24,"'(8, 8, 'How are tornadoes formed?', 'Science', 8),'",8,Science,"'(8, 'Example Text', 8),'"
9,How are earthquakes formed?,,,,Example Text,"'(9),'","'(25, 9, When there is an earthquake in the ocean , 1),'","'(26, 9, High wind speeds, 0),'","'(27, 9, Large objects falling into the ocean, 0),'",27,"'(9, 9, 'How are earthquakes formed?', 'Science', 9),'",9,Science,"'(9, 'Example Text', 9),'"
10,How are tsunamis formed?,When there is an earthquake in the ocean ,High wind speeds,Large objects falling into the ocean,Example Text,"'(10),'","'(28, 10, , 1),'","'(29, 10, , 0),'","'(30, 10, , 0),'",30,"'(10, 10, 'How are tsunamis formed?', 'Science', 10),'",10,Science,"'(10, 'Example Text', 10),'"
11,What is lightning?,,,,Example Text,"'(11),'","'(31, 11, Bromine and Mercury, 1),'","'(32, 11, Water, 0),'","'(33, 11, Chlorine, 0),'",33,"'(11, 11, 'What is lightning?', 'Science', 11),'",11,Science,"'(11, 'Example Text', 11),'"
12,Why does it rain?,,,,Example Text,"'(12),'","'(34, 12, , 1),'","'(35, 12, , 0),'","'(36, 12, , 0),'",36,"'(12, 12, 'Why does it rain?', 'Science', 12),'",12,Science,"'(12, 'Example Text', 12),'"
13,What are the liquid elements in the periodic table?,Bromine and Mercury,Water,Chlorine,Example Text,"'(13),'","'(37, 13, Bromine and Mercury, 1),'","'(38, 13, Water, 0),'","'(39, 13, Chlorine, 0),'",39,"'(13, 13, 'What are the liquid elements in the periodic table?', 'Science', 13),'",13,Science,"'(13, 'Example Text', 13),'"
14,What are the different types of climates?,,,,Example Text,"'(14),'","'(40, 14, Mass / Volume, 1),'","'(41, 14, Volume / Mass, 0),'","'(42, 14, Volume * Mass, 0),'",42,"'(14, 14, 'What are the different types of climates?', 'Science', 14),'",14,Science,"'(14, 'Example Text', 14),'"
15,What is the formula for density?,Mass / Volume,Volume / Mass,Volume * Mass,Example Text,"'(15),'","'(43, 15, Mass / Volume, 1),'","'(44, 15, Volume / Mass, 0),'","'(45, 15, Volume * Mass, 0),'",45,"'(15, 15, 'What is the formula for density?', 'Science', 15),'",15,Science,"'(15, 'Example Text', 15),'"
16,What makes an object float in water?,Density is below 1,Density is above 1,The element is not metallic,Example Text,"'(16),'","'(46, 16, Density is below 1, 1),'","'(47, 16, Density is above 1, 0),'","'(48, 16, The element is not metallic, 0),'",48,"'(16, 16, 'What makes an object float in water?', 'Science', 16),'",16,Science,"'(16, 'Example Text', 16),'"
17,What are electrons?,Negatively charged part of an atom that is not a part of the nucleus,Negatively charged part of an atom in the nucleus,Positively charged part of an atom that is not a part of the nucleus,Example Text,"'(17),'","'(49, 17, Negatively charged part of an atom that is not a part of the nucleus, 1),'","'(50, 17, Negatively charged part of an atom in the nucleus, 0),'","'(51, 17, Positively charged part of an atom that is not a part of the nucleus, 0),'",51,"'(17, 17, 'What are electrons?', 'Science', 17),'",17,Science,"'(17, 'Example Text', 17),'"
18,Which of the following is a complete circuit?,,,,Example Text,"'(18),'","'(52, 18, , 1),'","'(53, 18, , 0),'","'(54, 18, , 0),'",54,"'(18, 18, 'Which of the following is a complete circuit?', 'Science', 18),'",18,Science,"'(18, 'Example Text', 18),'"
19,What is static electricity?,Imbalance in between negative and positive changes sometimes due to friction,The build up of both positive and negative charges sometimes due to friction,The application of electricity to an object,Example Text,"'(19),'","'(55, 19, , 1),'","'(56, 19, The build up of both positive and negative charges sometimes due to friction, 0),'","'(57, 19, The application of electricity to an object, 0),'",57,"'(19, 19, 'What is static electricity?', 'Science', 19),'",19,Science,"'(19, 'Example Text', 19),'"
20,What is one way that we produce energy to use?,Hydropower,Magnetic,Lightning,Example Text,"'(20),'","'(58, 20, Hydropower, 1),'","'(59, 20, Magnetic, 0),'","'(60, 20, Lightning, 0),'",60,"'(20, 20, 'What is one way that we produce energy to use?', 'Science', 20),'",20,Science,"'(20, 'Example Text', 20),'"
21,15 + 46,61,71,51,Example Text,"'(21),'","'(61, 21, 61, 1),'","'(62, 21, 71, 0),'","'(63, 21, 51, 0),'",63,"'(21, 1, '15 + 46', 'Math', 21),'",1,Math,"'(21, 'Example Text', 21),'"
22,73 * 5,,,,Example Text,"'(22),'","'(64, 22, , 1),'","'(65, 22, , 0),'","'(66, 22, , 0),'",66,"'(22, 2, '73 * 5', 'Math', 22),'",2,Math,"'(22, 'Example Text', 22),'"
23,97 / 7,,,,Example Text,"'(23),'","'(67, 23, , 1),'","'(68, 23, , 0),'","'(69, 23, , 0),'",69,"'(23, 3, '97 / 7', 'Math', 23),'",3,Math,"'(23, 'Example Text', 23),'"
24,83 - 24,,,,Example Text,"'(24),'","'(70, 24, , 1),'","'(71, 24, , 0),'","'(72, 24, , 0),'",72,"'(24, 4, '83 - 24', 'Math', 24),'",4,Math,"'(24, 'Example Text', 24),'"
25,Solve for X -> 7x = 28,,,,Example Text,"'(25),'","'(73, 25, , 1),'","'(74, 25, , 0),'","'(75, 25, , 0),'",75,"'(25, 5, 'Solve for X -> 7x = 28', 'Math', 25),'",5,Math,"'(25, 'Example Text', 25),'"
26,978 + 30,,,,Example Text,"'(26),'","'(76, 26, , 1),'","'(77, 26, , 0),'","'(78, 26, , 0),'",78,"'(26, 6, '978 + 30', 'Math', 26),'",6,Math,"'(26, 'Example Text', 26),'"
27,48 * 35,,,,Example Text,"'(27),'","'(79, 27, , 1),'","'(80, 27, , 0),'","'(81, 27, , 0),'",81,"'(27, 7, '48 * 35', 'Math', 27),'",7,Math,"'(27, 'Example Text', 27),'"
28,987 + 56,,,,Example Text,"'(28),'","'(82, 28, , 1),'","'(83, 28, , 0),'","'(84, 28, , 0),'",84,"'(28, 8, '987 + 56', 'Math', 28),'",8,Math,"'(28, 'Example Text', 28),'"
29,654 / 5,,,,Example Text,"'(29),'","'(85, 29, , 1),'","'(86, 29, , 0),'","'(87, 29, , 0),'",87,"'(29, 9, '654 / 5', 'Math', 29),'",9,Math,"'(29, 'Example Text', 29),'"
30,863 / 9,,,,Example Text,"'(30),'","'(88, 30, , 1),'","'(89, 30, , 0),'","'(90, 30, , 0),'",90,"'(30, 10, '863 / 9', 'Math', 30),'",10,Math,"'(30, 'Example Text', 30),'"
31,86 + 4,,,,Example Text,"'(31),'","'(91, 31, , 1),'","'(92, 31, , 0),'","'(93, 31, , 0),'",93,"'(31, 11, '86 + 4', 'Math', 31),'",11,Math,"'(31, 'Example Text', 31),'"
32,8 * 9,,,,Example Text,"'(32),'","'(94, 32, , 1),'","'(95, 32, , 0),'","'(96, 32, , 0),'",96,"'(32, 12, '8 * 9', 'Math', 32),'",12,Math,"'(32, 'Example Text', 32),'"
33,7 * 2,,,,Example Text,"'(33),'","'(97, 33, , 1),'","'(98, 33, , 0),'","'(99, 33, , 0),'",99,"'(33, 13, '7 * 2', 'Math', 33),'",13,Math,"'(33, 'Example Text', 33),'"
34,25 * 6,,,,Example Text,"'(34),'","'(100, 34, , 1),'","'(101, 34, , 0),'","'(102, 34, , 0),'",102,"'(34, 14, '25 * 6', 'Math', 34),'",14,Math,"'(34, 'Example Text', 34),'"
35,978 / 3,,,,Example Text,"'(35),'","'(103, 35, , 1),'","'(104, 35, , 0),'","'(105, 35, , 0),'",105,"'(35, 15, '978 / 3', 'Math', 35),'",15,Math,"'(35, 'Example Text', 35),'"
36,Solve for X ->  4x = 65,,,,Example Text,"'(36),'","'(106, 36, , 1),'","'(107, 36, , 0),'","'(108, 36, , 0),'",108,"'(36, 16, 'Solve for X ->  4x = 65', 'Math', 36),'",16,Math,"'(36, 'Example Text', 36),'"
37,Solve for X -> 20 + x = 46,,,,Example Text,"'(37),'","'(109, 37, , 1),'","'(110, 37, , 0),'","'(111, 37, , 0),'",111,"'(37, 17, 'Solve for X -> 20 + x = 46', 'Math', 37),'",17,Math,"'(37, 'Example Text', 37),'"
38,Solve for X -> x - 8 = 2,,,,Example Text,"'(38),'","'(112, 38, , 1),'","'(113, 38, , 0),'","'(114, 38, , 0),'",114,"'(38, 18, 'Solve for X -> x - 8 = 2', 'Math', 38),'",18,Math,"'(38, 'Example Text', 38),'"
39,Solve for X -> 19 - x = 52,,,,Example Text,"'(39),'","'(115, 39, , 1),'","'(116, 39, , 0),'","'(117, 39, , 0),'",117,"'(39, 19, 'Solve for X -> 19 - x = 52', 'Math', 39),'",19,Math,"'(39, 'Example Text', 39),'"
40,Solve for X ->  8x = 64,,,,Example Text,"'(40),'","'(118, 40, , 1),'","'(119, 40, , 0),'","'(120, 40, , 0),'",120,"'(40, 20, 'Solve for X ->  8x = 64', 'Math', 40),'",20,Math,"'(40, 'Example Text', 40),'"
41,,,,,Example Text,"'(41),'","'(121, 41, , 1),'","'(122, 41, , 0),'","'(123, 41, , 0),'",123,"'(41, 1, '', 'Geography', 41),'",1,Geography,"'(41, 'Example Text', 41),'"
42,,,,,Example Text,"'(42),'","'(124, 42, , 1),'","'(125, 42, , 0),'","'(126, 42, , 0),'",126,"'(42, 2, '', 'Geography', 42),'",2,Geography,"'(42, 'Example Text', 42),'"
43,,,,,Example Text,"'(43),'","'(127, 43, , 1),'","'(128, 43, , 0),'","'(129, 43, , 0),'",129,"'(43, 3, '', 'Geography', 43),'",3,Geography,"'(43, 'Example Text', 43),'"
44,,,,,Example Text,"'(44),'","'(130, 44, , 1),'","'(131, 44, , 0),'","'(132, 44, , 0),'",132,"'(44, 4, '', 'Geography', 44),'",4,Geography,"'(44, 'Example Text', 44),'"
45,,,,,Example Text,"'(45),'","'(133, 45, , 1),'","'(134, 45, , 0),'","'(135, 45, , 0),'",135,"'(45, 5, '', 'Geography', 45),'",5,Geography,"'(45, 'Example Text', 45),'"
46,,,,,Example Text,"'(46),'","'(136, 46, , 1),'","'(137, 46, , 0),'","'(138, 46, , 0),'",138,"'(46, 6, '', 'Geography', 46),'",6,Geography,"'(46, 'Example Text', 46),'"
